acpi_call 1.1.0-240
alsa-tools 1.1.7-1
alsa-utils 1.1.9-1
autoconf 2.69-5
automake 1.16.1-1
bash 5.0.009-1
beep 1.4.4-1
binutils 2.32-2
bison 3.4-1
blueberry 1.2.9-1
bluez 5.50-6
bluez-firmware 1.2-9
bluez-hid2hci 5.50-6
bluez-utils 5.50-6
bzip2 1.0.8-2
cmatrix 2.0-1
compton 7.3-1
coreutils 8.31-1
cros-adapta-gtk-theme-git r53.eb6d8c1-1
cryptsetup 2.2.0-1
cups 2.3.0-3
cups-pdf 3.0.1-4
device-mapper 2.02.185-1
dhcpcd 7.2.2-1
dialog 1:1.3_20190808-1
diffutils 3.7-1
dunst 1.4.1-1
e2fsprogs 1.45.3-1
efibootmgr 16-1
electron 6.0.5-1
exfat-utils 1.3.0-1
expac 9-1
fakeroot 1.23-1
feh 3.2.1-1
ffmpegthumbnailer 2.2.0-2
file 5.37-2
file-roller 3.32.1-1
filesystem 2019.05-2
findutils 4.6.0-4
fish 3.0.2-1
flex 2.6.4-2
fprintd 0.9.0-1
gawk 5.0.1-1
gcc 9.1.0-2
gcc-libs 9.1.0-2
gdb 8.3-1
gettext 0.20.1-1
gifski 0.8.7-1
git 2.23.0-1
glibc 2.29-4
gnome-common 3.18.0-3
gnu-netcat 0.7.1-7
gohufont 2.1-1
gohufont-powerline 0.4-1
google-chrome-beta 77.0.3865.35-1
grep 3.3-1
grub 2:2.04-2
gvfs 1.40.2-1
gzip 1.10-1
htop 2.2.0-2
i3-gaps-next-git 4.17.r9.gfe6a8c55-1
i3status 2.13-2
ifplugd 0.28-15
inetutils 1.9.4-7
intel-ucode 20190618-1
iproute2 5.2.0-1
iputils 20180629.f6aac8d-4
iw 5.3-1
jfsutils 1.1.15-6
jq 1.6-2
less 551-1
libgsf 1.14.46-1
libmicrodns 0.0.10-1
libopenraw 0.1.3-1
libva-intel-driver 2.3.0-2
licenses 20181104-1
linux 5.2.10.arch1-1
logrotate 3.15.0-1
lua 5.3.5-2
lvm2 2.02.185-1
lxappearance 0.6.3-2
ly 0.3.0-1
m4 1.4.18-2
maim 5.5.3-1
make 4.2.1-3
man-db 2.8.7-1
man-pages 5.02-1
mdadm 4.1-1
mesa-demos 8.4.0-1
mopidy 2.2.3-1
mopidy-api-explorer 1.0.1-1
